Season,Tm,Champion,Finals,Lg,G,W,L,W/L%,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,STLperG,BLKperG,PTSperG
1979-80,ATL,0,0,NBA,82,50,32,0.61,19780,3261,7027,3248,6952,13,75,2038,2645,1369,2406,3775,1913,782,539,1495,2293,8573,0.464067169,0.173333333,0.770510397,9.536585366,6.573170732,104.5487805
1980-81,ATL,0,0,NBA,82,31,51,0.378,19930,3291,6866,3281,6784,10,82,2012,2590,1201,2224,3425,1846,749,469,1605,2276,8604,0.47931838,0.12195122,0.776833977,9.134146341,5.719512195,104.9268293
1981-82,ATL,0,0,NBA,82,42,40,0.512,19880,3210,6776,3182,6648,28,128,1833,2387,1135,2368,3503,1815,608,485,1343,2268,8281,0.473730815,0.21875,0.76790951,7.414634146,5.914634146,100.9878049
1982-83,ATL,0,0,NBA,82,43,39,0.524,19780,3352,7146,3307,6958,45,188,1586,2111,1139,2433,3572,1945,573,665,1424,2022,8335,0.469073608,0.239361702,0.7513027,6.987804878,8.109756098,101.6463415
1983-84,ATL,0,0,NBA,82,40,42,0.488,19855,3230,6809,3207,6703,23,106,1838,2414,1112,2232,3344,1827,626,558,1329,2091,8321,0.474372155,0.216981132,0.761391881,7.634146341,6.804878049,101.4756098
1984-85,ATL,0,0,NBA,82,34,48,0.415,19855,3444,7119,3371,6884,73,235,1782,2371,1161,2345,3506,2009,665,541,1475,2047,8743,0.483775811,0.310638298,0.751581611,8.109756098,6.597560976,106.6219512
1985-86,ATL,0,0,NBA,82,50,32,0.61,19805,3447,7029,3414,6863,33,166,1979,2704,1249,2405,3654,2025,736,434,1483,2170,8906,0.490396927,0.198795181,0.731878698,8.975609756,5.292682927,108.6097561
1986-87,ATL,0,0,NBA,82,57,25,0.695,19730,3435,7141,3300,6716,135,425,2019,2661,1350,2478,3828,2077,700,511,1279,2152,9024,0.481025067,0.317647059,0.758737317,8.536585366,6.231707317,110.0487805
1987-88,ATL,0,0,NBA,82,50,32,0.61,19780,3443,7102,3358,6820,85,282,1873,2441,1228,2379,3607,2062,635,537,1225,2050,8844,0.484793016,0.30141844,0.76730848,7.743902439,6.548780488,107.8536585
1988-89,ATL,0,0,NBA,82,52,30,0.634,19805,3412,7230,3302,6833,110,397,2168,2709,1372,2316,3688,1990,817,474,1310,1880,9102,0.471922545,0.277078086,0.800295312,9.963414634,5.780487805,111
